50 500
33 25 0.08333333333333333
30 37 0.08333333333333333
21 14 0.125
6 16 0.06666666666666667
20 43 0.07142857142857142
40 30 0.1
25 16 0.06666666666666667
23 3 0.08333333333333333
32 10 0.1
16 17 0.07142857142857142
2 19 0.08333333333333333
27 18 0.1111111111111111
41 19 0.08333333333333333
7 26 0.125
40 4 0.1111111111111111
28 48 0.1111111111111111
31 17 0.07142857142857142
23 47 0.1111111111111111
41 29 0.07692307692307693
12 20 0.1
44 48 0.1111111111111111
24 5 0.08333333333333333
20 17 0.07142857142857142
20 41 0.1111111111111111
44 38 0.08333333333333333
17 13 0.1111111111111111
49 17 0.07142857142857142
6 43 0.07142857142857142
26 36 0.2
44 40 0.07692307692307693
6 48 0.1111111111111111
48 27 0.07142857142857142
40 34 0.1111111111111111
27 19 0.08333333333333333
33 37 0.08333333333333333
34 47 0.1111111111111111
47 40 0.07692307692307693
39 13 0.1111111111111111
21 20 0.1
1 17 0.07142857142857142
42 22 0.0625
2 15 0.125
21 1 0.1111111111111111
4 9 0.07142857142857142
26 47 0.1111111111111111
1 31 0.1111111111111111
29 5 0.08333333333333333
6 26 0.125
6 49 0.08333333333333333
48 12 0.09090909090909091
19 49 0.08333333333333333
23 40 0.07692307692307693
40 27 0.07142857142857142
6 16 0.06666666666666667
44 13 0.1111111111111111
25 0 0.08333333333333333
3 23 0.07142857142857142
35 6 0.16666666666666666
9 31 0.1111111111111111
11 0 0.08333333333333333
0 23 0.07142857142857142
18 24 0.125
21 1 0.1111111111111111
18 42 0.06666666666666667
41 45 0.2
36 41 0.1111111111111111
9 13 0.1111111111111111
46 29 0.07692307692307693
14 41 0.1111111111111111
19 28 0.16666666666666666
45 46 0.09090909090909091
40 30 0.1
9 27 0.07142857142857142
22 3 0.08333333333333333
24 4 0.1111111111111111
21 0 0.08333333333333333
10 12 0.09090909090909091
8 6 0.16666666666666666
11 42 0.06666666666666667
46 9 0.07142857142857142
46 25 0.08333333333333333
9 4 0.1111111111111111
8 11 0.16666666666666666
15 9 0.07142857142857142
16 11 0.16666666666666666
48 16 0.06666666666666667
2 3 0.08333333333333333
36 22 0.0625
12 43 0.07142857142857142
39 5 0.08333333333333333
38 16 0.06666666666666667
44 31 0.1111111111111111
48 23 0.07142857142857142
31 1 0.1111111111111111
18 16 0.06666666666666667
24 48 0.1111111111111111
6 24 0.125
48 10 0.1
11 6 0.16666666666666666
15 40 0.07692307692307693
25 46 0.09090909090909091
45 25 0.08333333333333333
37 16 0.06666666666666667
1 7 0.14285714285714285
12 29 0.07692307692307693
43 46 0.09090909090909091
13 18 0.1111111111111111
21 13 0.1111111111111111
8 19 0.08333333333333333
21 31 0.1111111111111111
19 47 0.1111111111111111
37 8 0.07692307692307693
38 23 0.07142857142857142
32 4 0.1111111111111111
2 35 0.2
48 3 0.08333333333333333
10 1 0.1111111111111111
8 21 0.1
7 35 0.2
16 39 0.2
38 6 0.16666666666666666
38 45 0.2
16 42 0.06666666666666667
21 22 0.0625
45 23 0.07142857142857142
6 31 0.1111111111111111
4 9 0.07142857142857142
26 15 0.125
46 9 0.07142857142857142
34 8 0.07692307692307693
17 25 0.08333333333333333
36 35 0.2
24 32 0.1
12 48 0.1111111111111111
38 2 0.14285714285714285
5 29 0.07692307692307693
44 5 0.08333333333333333
35 16 0.06666666666666667
46 9 0.07142857142857142
19 29 0.07692307692307693
46 19 0.08333333333333333
34 1 0.1111111111111111
11 41 0.1111111111111111
31 21 0.1
1 28 0.16666666666666666
21 20 0.1
35 23 0.07142857142857142
5 23 0.07142857142857142
16 46 0.09090909090909091
30 15 0.125
44 16 0.06666666666666667
12 18 0.1111111111111111
32 23 0.07142857142857142
32 24 0.125
42 38 0.08333333333333333
22 27 0.07142857142857142
47 0 0.08333333333333333
11 30 0.1
2 17 0.07142857142857142
15 30 0.1
9 39 0.2
46 49 0.08333333333333333
4 32 0.1
41 9 0.07142857142857142
15 17 0.07142857142857142
28 12 0.09090909090909091
4 23 0.07142857142857142
36 34 0.1111111111111111
23 5 0.08333333333333333
48 46 0.09090909090909091
2 34 0.1111111111111111
47 42 0.06666666666666667
8 49 0.08333333333333333
12 5 0.08333333333333333
47 16 0.06666666666666667
19 46 0.09090909090909091
16 18 0.1111111111111111
11 22 0.0625
48 18 0.1111111111111111
5 9 0.07142857142857142
41 14 0.125
14 4 0.1111111111111111
22 12 0.09090909090909091
14 3 0.08333333333333333
40 38 0.08333333333333333
45 2 0.14285714285714285
0 16 0.06666666666666667
4 17 0.07142857142857142
5 32 0.1
7 0 0.08333333333333333
28 8 0.07692307692307693
38 14 0.125
17 42 0.06666666666666667
22 12 0.09090909090909091
17 27 0.07142857142857142
35 27 0.07142857142857142
19 34 0.1111111111111111
16 7 0.14285714285714285
8 22 0.0625
37 32 0.1
18 10 0.1
40 27 0.07142857142857142
42 22 0.0625
3 12 0.09090909090909091
15 19 0.08333333333333333
2 22 0.0625
49 48 0.1111111111111111
2 11 0.16666666666666666
0 49 0.08333333333333333
22 2 0.14285714285714285
49 21 0.1
16 5 0.08333333333333333
22 0 0.08333333333333333
2 21 0.1
26 3 0.08333333333333333
42 15 0.125
16 37 0.08333333333333333
14 22 0.0625
7 15 0.125
31 21 0.1
49 37 0.08333333333333333
42 3 0.08333333333333333
16 42 0.06666666666666667
37 3 0.08333333333333333
33 10 0.1
20 3 0.08333333333333333
19 38 0.08333333333333333
20 31 0.1111111111111111
21 43 0.07142857142857142
26 7 0.14285714285714285
29 49 0.08333333333333333
47 37 0.08333333333333333
34 38 0.08333333333333333
27 44 0.16666666666666666
20 41 0.1111111111111111
30 20 0.1
34 8 0.07692307692307693
35 20 0.1
30 42 0.06666666666666667
28 4 0.1111111111111111
44 36 0.2
44 36 0.2
42 44 0.16666666666666666
37 21 0.1
37 49 0.08333333333333333
22 24 0.125
39 27 0.07142857142857142
4 21 0.1
19 10 0.1
23 29 0.07692307692307693
2 30 0.1
49 5 0.08333333333333333
21 18 0.1111111111111111
7 42 0.06666666666666667
21 45 0.2
42 11 0.16666666666666666
18 19 0.08333333333333333
27 16 0.06666666666666667
45 6 0.16666666666666666
11 42 0.06666666666666667
15 33 0.16666666666666666
4 28 0.16666666666666666
22 34 0.1111111111111111
5 22 0.0625
4 25 0.08333333333333333
26 43 0.07142857142857142
45 17 0.07142857142857142
31 26 0.125
3 45 0.2
24 25 0.08333333333333333
47 1 0.1111111111111111
8 3 0.08333333333333333
39 26 0.125
43 23 0.07142857142857142
1 4 0.1111111111111111
20 46 0.09090909090909091
10 30 0.1
28 19 0.08333333333333333
29 18 0.1111111111111111
27 29 0.07692307692307693
36 39 0.2
16 46 0.09090909090909091
39 41 0.1111111111111111
46 30 0.1
37 4 0.1111111111111111
49 28 0.16666666666666666
9 32 0.1
